"Population and Actual and Percentage Change 2011 to 2016 by Electoral Division, CensusYear and Statistic ",,,,,,,
,,,,,,,
,,,,,,,
 , ,Population - 2011 (Number),Population - 2016 (Number),Males - 2016 (Number),Females - 2016 (Number),Actual change 2011-2016 (Number),Percentage change 2011-2016 (%)
2016,,,,,,,
 ,"032 Breedoge, Co. Roscommon",239,241,123,118,2,0.8
 ,"033 Cloonteen, Co. Roscommon",291,273,143,130,-18,-6.2
 ,"034 Creeve, Co. Roscommon",116,120,70,50,4,3.4
 ,"035 Croghan, Co. Roscommon",359,379,189,190,20,5.6
 ,"036 Crossna, Co. Roscommon",207,187,102,85,-20,-9.7
 ,"037 Danesfort, Co. Roscommon",865,827,420,407,-38,-4.4
 ,"038 Estersnow, Co. Roscommon",88,87,44,43,-1,-1.1
 ,"039 Keadew, Co. Roscommon",486,533,250,283,47,9.7
 ,"040 Kilbryan, Co. Roscommon",321,326,163,163,5,1.6
 ,"041 Kilcolagh, Co. Roscommon",126,148,73,75,22,17.5
 ,"042 Killukin, Co. Roscommon",286,270,133,137,-16,-5.6
 ,"043 Killummod, Co. Roscommon",107,119,55,64,12,11.2
 ,"044 Kilmacumsy, Co. Roscommon",319,310,157,153,-9,-2.8
 ,"045 Kilmore, Co. Roscommon",184,180,101,79,-4,-2.2
 ,"046 Lisgarve, Co. Roscommon",181,168,90,78,-13,-7.2
 ,"047 Lough Allen, Co. Roscommon",255,226,112,114,-29,-11.4
 ,"048 Mantua, Co. Roscommon",56,56,32,24,0,0
 ,"049 Oakport, Co. Roscommon",319,414,205,209,95,29.8
 ,"050 Rockingham, Co. Roscommon",345,343,175,168,-2,-0.6
 ,"051 Rushfield, Co. Roscommon",425,371,192,179,-54,-12.7
 ,"052 Tivannagh, Co. Roscommon",285,258,131,127,-27,-9.5
 ,"053 Tumna North, Co. Roscommon",178,166,81,85,-12,-6.7
 ,"054 Tumna South, Co. Roscommon",204,191,83,108,-13,-6.4
 ,"Castlereagh rural area, Co. Roscommon",15534,15043,7771,7272,-491,-3.2
 ,"055 Artagh North, Co. Roscommon",850,829,418,411,-21,-2.5
 ,"056 Artagh South, Co. Roscommon",458,450,223,227,-8,-1.7
 ,"057 Ballaghaderreen, Co. Roscommon",2768,2651,1363,1288,-117,-4.2
 ,"058 Ballinlough, Co. Roscommon",1013,992,498,494,-21,-2.1
 ,"059 Ballintober, Co. Roscommon",758,736,351,385,-22,-2.9
 ,"060 Baslick, Co. Roscommon",163,153,88,65,-10,-6.1
 ,"061 Bellanagare, Co. Roscommon",629,639,331,308,10,1.6
 ,"062 Buckill, Co. Roscommon",374,331,163,168,-43,-11.5
 ,"063 Carrowduff, Co. Roscommon",203,236,130,106,33,16.3
 ,"064 Castleplunket, Co. Roscommon",512,521,247,274,9,1.8
 ,"065 Castlereagh, Co. Roscommon",3077,2970,1653,1317,-107,-3.5
 ,"066 Castleteheen, Co. Roscommon",353,336,169,167,-17,-4.8
 ,"067 Cloonfower, Co. Roscommon",359,320,164,156,-39,-10.9
 ,"068 Coolougher, Co. Roscommon",491,504,267,237,13,2.6
 ,"069 Edmondstown, Co. Roscommon",446,419,218,201,-27,-6.1
 ,"070 Fairymount, Co. Roscommon",359,313,165,148,-46,-12.8
 ,"071 Frenchpark, Co. Roscommon",860,898,459,439,38,4.4
 ,"072 Kiltullagh, Co. Roscommon",1134,1055,540,515,-79,-7
 ,"073 Loughglinn, Co. Roscommon",727,690,324,366,-37,-5.1
 ,"Roscommon rural area, Co. Roscommon",22293,22575,11231,11344,282,1.3
 ,"074 Annaghmore, Co. Roscommon",325,295,152,143,-30,-9.2
 ,"075 Athleague East, Co. Roscommon",458,455,232,223,-3,-0.7
 ,"076 Athleague West, Co. Roscommon",552,535,262,273,-17,-3.1
 ,"077 Ballygarden, Co. Roscommon",220,176,89,87,-44,-20
 ,"078 Bumlin, Co. Roscommon",408,472,250,222,64,15.7
 ,"079 Cams, Co. Roscommon",494,469,233,236,-25,-5.1
 ,"080 Cloonfinlough, Co. Roscommon",201,173,89,84,-28,-13.9
 ,"081 Cloontuskert, Co. Roscommon",1238,1279,607,672,41,3.3
 ,"082 Cloonygormican, Co. Roscommon",451,454,227,227,3,0.7
 ,"083 Cloonyquin, Co. Roscommon",288,261,143,118,-27,-9.4
 ,"084 Creeve, Co. Roscommon",169,162,87,75,-7,-4.1
 ,"085 Cregga, Co. Roscommon",164,156,77,79,-8,-4.9
 ,"086 Drumdaff, Co. Roscommon",434,449,229,220,15,3.5
 ,"087 Dunamon, Co. Roscommon",360,332,164,168,-28,-7.8
 ,"088 Elia, Co. Roscommon",127,139,71,68,12,9.4
 ,"089 Elphin, Co. Roscommon",794,764,374,390,-30,-3.8
 ,"090 Fuerty, Co. Roscommon",713,701,362,339,-12,-1.7
 ,"091 Kilbride North, Co. Roscommon",372,408,203,205,36,9.7
 ,"092 Kilbride South, Co. Roscommon",395,388,200,188,-7,-1.8
 ,"093 Kilgefin, Co. Roscommon",316,320,159,161,4,1.3
 ,"094 Kilglass North, Co. Roscommon",392,434,232,202,42,10.7
 ,"095 Kilglass South, Co. Roscommon",322,312,157,155,-10,-3.1
 ,"096 Killavackan, Co. Roscommon",231,205,108,97,-26,-11.3
 ,"097 Killukin, Co. Roscommon",207,191,104,87,-16,-7.7
 ,"098 Kilteevan, Co. Roscommon",522,530,276,254,8,1.5
 ,"099 Lackan, Co. Roscommon",388,367,190,177,-21,-5.4
 ,"100 Lismaha, Co. Roscommon",370,357,172,185,-13,-3.5
 ,"101 Lissonuffy, Co. Roscommon",164,169,86,83,5,3
 ,"102 Mote, Co. Roscommon",902,944,475,469,42,4.7
 ,"103 Ogulla, Co. Roscommon",330,341,166,175,11,3.3
 ,"104 Roosky, Co. Roscommon",707,708,349,359,1,0.1
 ,"105 Roscommon Rural, Co. Roscommon",4782,4916,2359,2557,134,2.8
 ,"106 Roscommon Urban, Co. Roscommon",1701,1723,853,870,22,1.3
 ,"107 Rosmoylan, Co. Roscommon",162,165,90,75,3,1.9
 ,"108 Rossmore, Co. Roscommon",168,169,83,86,1,0.6
 ,"109 Scregg, Co. Roscommon",488,515,245,270,27,5.5
 ,"110 Strokestown, Co. Roscommon",1003,1049,523,526,46,4.6
 ,"111 Termonbarry, Co. Roscommon",696,777,395,382,81,11.6
 ,"112 Tulsk, Co. Roscommon",279,315,158,157,36,12.9
 ,Sligo,65393,65357,32304,33053,-36,-0.1
 ,"Sligo Borough, Co. Sligo",17568,17355,8357,8998,-213,-1.2
 ,"001 Sligo East, Co. Sligo",4937,4972,2429,2543,35,0.7
 ,"002 Sligo North, Co. Sligo",5502,5168,2464,2704,-334,-6.1
 ,"003 Sligo West, Co. Sligo",7129,7215,3464,3751,86,1.2
 ,"Boyle No. 2 rural area, Co. Sligo",4694,4620,2379,2241,-74,-1.6
 ,"004 Aghanagh, Co. Sligo",361,361,184,177,0,0
 ,"005 Ballynashee, Co. Sligo",337,330,168,162,-7,-2.1
 ,"006 Coolavin, Co. Sligo",466,459,243,216,-7,-1.5
 ,"007 Cuilmore, Co. Sligo",511,491,257,234,-20,-3.9
 ,"008 Drumrat, Co. Sligo",527,534,270,264,7,1.3
 ,"009 Kilfree, Co. Sligo",521,538,264,274,17,3.3
 ,"010 Killadoon, Co. Sligo",293,278,145,133,-15,-5.1
 ,"011 Killaraght, Co. Sligo",417,426,229,197,9,2.2
 ,"012 Kilmactranny, Co. Sligo",344,322,165,157,-22,-6.4
 ,"013 Kilshalvy, Co. Sligo",290,303,147,156,13,4.5
 ,"014 Shancough, Co. Sligo",153,123,66,57,-30,-19.6
 ,"015 Templevanny, Co. Sligo",245,235,117,118,-10,-4.1
 ,"016 Toomour, Co. Sligo",229,220,124,96,-9,-3.9
 ,"Dromore West rural area, Co. Sligo",7311,7115,3658,3457,-196,-2.7
 ,"017 Aughris, Co. Sligo",172,162,80,82,-10,-5.8
 ,"018 Buncrowey, Co. Sligo",314,286,160,126,-28,-8.9
 ,"019 Castleconor East, Co. Sligo",243,213,109,104,-30,-12.3
 ,"020 Castleconor West, Co. Sligo",1002,1015,526,489,13,1.3
 ,"021 Dromard East, Co. Sligo",174,175,90,85,1,0.6
 ,"022 Dromard West, Co. Sligo",190,196,104,92,6,3.2
 ,"023 Dromore, Co. Sligo",473,469,243,226,-4,-0.8
 ,"024 Easky East, Co. Sligo",615,595,295,300,-20,-3.3
 ,"025 Easky West, Co. Sligo",681,648,354,294,-33,-4.8
 ,"026 Kilglass, Co. Sligo",1639,1603,797,806,-36,-2.2
 ,"027 Mullagheruse, Co. Sligo",45,44,25,19,-1,-2.2
 ,"028 Rathmacurkey, Co. Sligo",579,562,294,268,-17,-2.9
 ,"029 Skreen, Co. Sligo",177,165,85,80,-12,-6.8
 ,"030 Templeboy North, Co. Sligo",301,309,155,154,8,2.7
 ,"031 Templeboy South, Co. Sligo",180,167,80,87,-13,-7.2
 ,"032 Toberpatrick East, Co. Sligo",249,207,107,100,-42,-16.9
 ,"033 Toberpatrick West, Co. Sligo",277,299,154,145,22,7.9
 ,"Sligo rural area, Co. Sligo",26798,26950,13237,13713,152,0.6
 ,"034 Ballintogher East, Co. Sligo",627,635,316,319,8,1.3
 ,"035 Ballintogher West, Co. Sligo",435,447,228,219,12,2.8
 ,"036 Ballymote, Co. Sligo",2074,2062,1015,1047,-12,-0.6
 ,"037 Ballynakill, Co. Sligo",461,479,242,237,18,3.9
 ,"038 Ballysadare East, Co. Sligo",1261,1234,576,658,-27,-2.1
 ,"039 Ballysadare West, Co. Sligo",346,348,164,184,2,0.6
 ,"040 Bricklieve, Co. Sligo",238,234,114,120,-4,-1.7
 ,"041 Calry, Co. Sligo",1806,1695,818,877,-111,-6.1
 ,"042 Carney, Co. Sligo",692,689,341,348,-3,-0.4
 ,"043 Carrickbanagher, Co. Sligo",663,675,349,326,12,1.8
 ,"044 Cliffony North, Co. Sligo",906,900,439,461,-6,-0.7
 ,"045 Cliffony South, Co. Sligo",602,571,286,285,-31,-5.1
 ,"046 Collooney, Co. Sligo",2543,2742,1348,1394,199,7.8
 ,"047 Drumcliff East, Co. Sligo",736,727,363,364,-9,-1.2
 ,"048 Drumcliff West, Co. Sligo",1830,1897,889,1008,67,3.7
 ,"049 Drumcolumb, Co. Sligo",309,289,153,136,-20,-6.5
 ,"050 Drumfin, Co. Sligo",414,387,198,189,-27,-6.5
 ,"051 Glencar, Co. Sligo",215,237,132,105,22,10.2
 ,"052 Kilmacowen, Co. Sligo",2230,2141,1091,1050,-89,-4
 ,"053 Knockaree, Co. Sligo",3557,3690,1754,1936,133,3.7
 ,"054 Lakeview, Co. Sligo",474,434,211,223,-40,-8.4
 ,"055 Lisconny, Co. Sligo",422,384,190,194,-38,-9
 ,"056 Lissadill East, Co. Sligo",782,857,423,434,75,9.6
 ,"057 Lissadill North, Co. Sligo",1440,1479,712,767,39,2.7
 ,"058 Lissadill West, Co. Sligo",553,605,311,294,52,9.4
 ,"059 Riverstown, Co. Sligo",732,679,352,327,-53,-7.2
 ,"060 Rossinver East, Co. Sligo",194,193,102,91,-1,-0.5
 ,"061 Rossinver West, Co. Sligo",256,240,120,120,-16,-6.3
 ,"Tobercurry rural area, Co. Sligo",9022,9317,4673,4644,295,3.3
 ,"062 Achonry East, Co. Sligo",539,491,256,235,-48,-8.9
 ,"063 Achonry West, Co. Sligo",739,752,373,379,13,1.8
 ,"064 Aclare, Co. Sligo",292,255,126,129,-37,-12.7
 ,"065 Annagh, Co. Sligo",202,197,98,99,-5,-2.5
 ,"066 Banada, Co. Sligo",604,598,301,297,-6,-1
 ,"067 Branchfield, Co. Sligo",56,56,29,27,0,0
 ,"068 Breencorragh, Co. Sligo",132,117,66,51,-15,-11.4
 ,"069 Carrownaskeagh, Co. Sligo",104,106,53,53,2,1.9
 ,"070 Cartron, Co. Sligo",190,174,93,81,-16,-8.4
 ,"071 Cloonacool, Co. Sligo",275,275,143,132,0,0
 ,"072 Cloonoghill, Co. Sligo",307,320,162,158,13,4.2
 ,"073 Coolaney, Co. Sligo",1200,1332,659,673,132,11
 ,"074 Glendarragh, Co. Sligo",201,216,116,100,15,7.5
 ,"075 Kilmacteige, Co. Sligo",242,221,116,105,-21,-8.7
 ,"076 Kilturra, Co. Sligo",241,223,119,104,-18,-7.5
 ,"077 Leitrim, Co. Sligo",366,367,199,168,1,0.3
 ,"078 Loughill, Co. Sligo",77,68,30,38,-9,-11.7
 ,"079 Owenmore, Co. Sligo",114,122,60,62,8,7
 ,"080 Streamstown, Co. Sligo",302,262,131,131,-40,-13.2
 ,"081 Temple, Co. Sligo",301,348,181,167,47,15.6
 ,"082 Tobercurry, Co. Sligo",2538,2817,1362,1455,279,11
 ,Ulster (part of),294803,296120,148042,148078,1317,0.4
 ,Cavan,73183,76092,38355,37737,2909,4
 ,"Cavan Town, Co. Cavan",3649,3780,1879,1901,131,3.6
 ,"001 Cavan Urban, Co. Cavan",3649,3780,1879,1901,131,3.6
 ,"Bailieborough rural area, Co. Cavan",14825,15318,7686,7632,493,3.3
 ,"002 Bailieborough, Co. Cavan",3862,4006,2008,1998,144,3.7
 ,"003 Carnagarve, Co. Cavan",623,573,302,271,-50,-8
 ,"004 Crossbane, Co. Cavan",594,618,334,284,24,4
 ,"005 Drumanespick, Co. Cavan",462,448,226,222,-14,-3
 ,"006 Enniskeen, Co. Cavan",461,455,234,221,-6,-1.3
 ,"007 Killinkere, Co. Cavan",480,449,224,225,-31,-6.5
 ,"008 Kingscourt, Co. Cavan",3224,3339,1623,1716,115,3.6
 ,"009 Lisagoan, Co. Cavan",388,401,217,184,13,3.4
 ,"010 Mullagh, Co. Cavan",1962,2216,1090,1126,254,12.9
 ,"011 Shercock, Co. Cavan",1169,1255,620,635,86,7.4
 ,"012 Skeagh, Co. Cavan",428,407,212,195,-21,-4.9
 ,"013 Taghart, Co. Cavan",626,614,322,292,-12,-1.9
 ,"014 Termon, Co. Cavan",546,537,274,263,-9,-1.6
 ,"Bawnboy rural area, Co. Cavan",4404,4261,2190,2071,-143,-3.2
 ,"015 Ballyconnell, Co. Cavan",1512,1554,773,781,42,2.8
 ,"016 Ballymagauran, Co. Cavan",251,245,121,124,-6,-2.4
 ,"017 Bawnboy, Co. Cavan",580,588,311,277,8,1.4
 ,"018 Benbrack, Co. Cavan",82,70,41,29,-12,-14.6
 ,"019 Bilberry, Co. Cavan",179,165,93,72,-14,-7.8
 ,"020 Carn, Co. Cavan",229,135,75,60,-94,-41
 ,"021 Diamond, Co. Cavan",138,130,66,64,-8,-5.8
 ,"022 Doogary, Co. Cavan",147,142,74,68,-5,-3.4
 ,"023 Kinawley, Co. Cavan",112,111,57,54,-1,-0.9
 ,"024 Lissanover, Co. Cavan",288,290,147,143,2,0.7
 ,"025 Pedara Vohers, Co. Cavan",160,148,76,72,-12,-7.5
 ,"026 Swanlinbar, Co. Cavan",399,377,192,185,-22,-5.5
 ,"027 Templeport, Co. Cavan",284,268,143,125,-16,-5.6
 ,"028 Tircahan, Co. Cavan",43,38,21,17,-5,-11.6
 ,"Castlerahan rural area, Co. Cavan",10625,11257,5685,5572,632,5.9
 ,"029 Ballyjamesduff, Co. Cavan",3134,3230,1628,1602,96,3.1
 ,"030 Castlerahan, Co. Cavan",911,902,469,433,-9,-1
 ,"031 Kilbride, Co. Cavan",956,970,490,480,14,1.5
 ,"032 Lurgan, Co. Cavan",565,632,336,296,67,11.9
 ,"033 Munterconnaught, Co. Cavan",1116,1130,573,557,14,1.3
 ,"034 Virginia, Co. Cavan",3943,4393,2189,2204,450,11.4
 ,"Cavan rural area, Co. Cavan",36158,38012,19109,18903,1854,5.1
 ,"035 Ardue, Co. Cavan",734,868,442,426,134,18.3
 ,"036 Arvagh, Co. Cavan",925,954,505,449,29,3.1
 ,"037 Ashfield, Co. Cavan",343,358,189,169,15,4.4
 ,"038 Ballintemple, Co. Cavan",460,425,217,208,-35,-7.6
 ,"039 Ballyhaise, Co. Cavan",975,1057,518,539,82,8.4
 ,"040 Ballymachugh, Co. Cavan",762,829,428,401,67,8.8
 ,"041 Bellananagh, Co. Cavan",1358,1528,744,784,170,12.5
 ,"042 Belturbet Urban, Co. Cavan",1378,1501,756,745,123,8.9
 ,"043 Bruce Hall, Co. Cavan",208,211,108,103,3,1.4
 ,"044 Butler's Bridge, Co. Cavan",478,472,230,242,-6,-1.3
 ,"045 Canningstown, Co. Cavan",571,533,287,246,-38,-6.7
 ,"046 Carrafin, Co. Cavan",417,399,210,189,-18,-4.3
 ,"047 Castlesaunderson, Co. Cavan",282,299,150,149,17,6
 ,"048 Cavan Rural, Co. Cavan",7203,8272,3965,4307,1069,14.8
 ,"049 Clonervy, Co. Cavan",896,850,447,403,-46,-5.1
 ,"050 Cootehill Rural, Co. Cavan",1068,1089,550,539,21,2
 ,"051 Cootehill Urban, Co. Cavan",1592,1598,810,788,6,0.4
 ,"052 Corr, Co. Cavan",280,268,127,141,-12,-4.3
 ,"053 Corraneary, Co. Cavan",438,447,231,216,9,2.1
 ,"054 Crossdoney, Co. Cavan",584,543,296,247,-41,-7
 ,"055 Crosskeys, Co. Cavan",708,700,359,341,-8,-1.1
 ,"056 Cuttragh, Co. Cavan",389,395,209,186,6,1.5
 ,"057 Denn, Co. Cavan",709,701,364,337,-8,-1.1
 ,"058 Derrin, Co. Cavan",416,459,249,210,43,10.3
 ,"059 Drumcarban, Co. Cavan",615,611,306,305,-4,-0.7
 ,"060 Drumcarn, Co. Cavan",535,528,262,266,-7,-1.3
 ,"061 Drung, Co. Cavan",539,519,274,245,-20,-3.7
 ,"062 Graddum, Co. Cavan",538,541,282,259,3,0.6
 ,"063 Grilly, Co. Cavan",403,485,245,240,82,20.3
 ,"064 Kilconny, Co. Cavan",479,548,292,256,69,14.4
 ,"065 Kill, Co. Cavan",369,346,180,166,-23,-6.2
 ,"066 Killashandra, Co. Cavan",1141,1151,570,581,10,0.9
 ,"067 Killykeen, Co. Cavan",584,601,304,297,17,2.9
 ,"068 Kilnaleck, Co. Cavan",1057,1112,521,591,55,5.2
 ,"069 Knappagh, Co. Cavan",440,470,241,229,30,6.8
 ,"070 Larah North, Co. Cavan",501,470,234,236,-31,-6.2
 ,"071 Larah South, Co. Cavan",465,506,266,240,41,8.8
 ,"072 Milltown, Co. Cavan",335,352,188,164,17,5.1
 ,"073 Moynehall, Co. Cavan",1675,1741,872,869,66,3.9
 ,"074 Rakenny, Co. Cavan",442,401,218,183,-41,-9.3
 ,"075 Redhill, Co. Cavan",439,447,234,213,8,1.8
 ,"076 Springfield, Co. Cavan",198,171,86,85,-27,-13.6
 ,"077 Stradone, Co. Cavan",777,756,380,376,-21,-2.7
 ,"078 Tullyvin East, Co. Cavan",430,464,235,229,34,7.9
 ,"079 Tullyvin West, Co. Cavan",264,277,150,127,13,4.9
 ,"080 Waterloo, Co. Cavan",758,759,378,381,1,0.1
 ,"Enniskillen No. 2 rural area, Co. Cavan",1293,1167,655,512,-126,-9.7
 ,"081 Derrylahan, Co. Cavan",96,91,54,37,-5,-5.2
 ,"082 Derrynananta, Co. Cavan",35,38,20,18,3,8.6
 ,"083 Dowra, Co. Cavan",161,159,80,79,-2,-1.2
 ,"084 Dunmakeever, Co. Cavan",117,97,53,44,-20,-17.1
 ,"085 Eskey, Co. Cavan",342,320,220,100,-22,-6.4
 ,"086 Killinagh, Co. Cavan",125,109,55,54,-16,-12.8
 ,"087 Teebane, Co. Cavan",29,22,13,9,-7,-24.1
 ,"088 Tuam, Co. Cavan",388,331,160,171,-57,-14.7
 ,"Mullaghoran rural area, Co. Cavan",2229,2297,1151,1146,68,3.1
 ,"089 Drumlumman, Co. Cavan",535,584,308,276,49,9.2
 ,"090 Kilcogy, Co. Cavan",434,450,210,240,16,3.7
 ,"091 Kilgolagh, Co. Cavan",317,318,165,153,1,0.3
 ,"092 Loughdawan, Co. Cavan",338,330,166,164,-8,-2.4
 ,"093 Scrabby, Co. Cavan",605,615,302,313,10,1.7
 ,Donegal,161137,158755,78858,79897,-2382,-1.5
 ,"Buncrana Town, Co. Donegal",3452,3390,1667,1723,-62,-1.8
 ,"001 Buncrana Urban, Co. Donegal",3452,3390,1667,1723,-62,-1.8
 ,"Bundoran Town, Co. Donegal",1781,1665,799,866,-116,-6.5
 ,"002 Bundoran Urban, Co. Donegal",1781,1665,799,866,-116,-6.5
 ,"Letterkenny Town, Co. Donegal",15387,16017,7798,8219,630,4.1
 ,"003 Letterkenny Urban, Co. Donegal",1931,2193,1131,1062,262,13.6
 ,"096 Ballymacool (Part Urban), Co. Donegal",1303,1447,672,775,144,11.1
 ,"097 Castlewray (Part Urban), Co. Donegal",1278,1229,594,635,-49,-3.8
 ,"099 Corravaddy (Part Urban), Co. Donegal",979,1060,505,555,81,8.3
 ,"100 Edenacarnan (Part Urban), Co. Donegal",20,21,10,11,1,5
 ,"105 Letterkenny Rural (Part Urban), Co. Donegal",9645,9840,4779,5061,195,2
 ,"106 Magheraboy (Part Urban), Co. Donegal",231,227,107,120,-4,-1.7
 ,"Ballyshannon rural area, Co. Donegal",6360,6075,3003,3072,-285,-4.5
 ,"004 Ballintra, Co. Donegal",692,689,336,353,-3,-0.4
 ,"005 Ballyshannon Rural, Co. Donegal",1657,1617,811,806,-40,-2.4
 ,"006 Ballyshannon Urban, Co. Donegal",1855,1734,812,922,-121,-6.5
 ,"007 Bundoran Rural, Co. Donegal",1063,975,507,468,-88,-8.3
 ,"008 Carrickboy, Co. Donegal",419,373,190,183,-46,-11
 ,"009 Cavangarden, Co. Donegal",391,431,214,217,40,10.2
 ,"010 Cliff, Co. Donegal",283,256,133,123,-27,-9.5
 ,"Donegal rural area, Co. Donegal",13035,13052,6562,6490,17,0.1
 ,"011 Ballintra, Co. Donegal",638,673,353,320,35,5.5
 ,"012 An Bhinn Bhán, Co. Donegal",150,170,87,83,20,13.3
 ,"013 Bonnyglen, Co. Donegal",386,403,190,213,17,4.4
 ,"014 Clogher, Co. Donegal",847,856,434,422,9,1.1
 ,"015 Corkermore, Co. Donegal",325,303,153,150,-22,-6.8
 ,"016 Donegal, Co. Donegal",4010,4031,1979,2052,21,0.5
 ,"017 Dunkineely, Co. Donegal",932,900,451,449,-32,-3.4
 ,"018 Eanymore, Co. Donegal",557,518,263,255,-39,-7
 ,"019 Grousehall, Co. Donegal",76,75,44,31,-1,-1.3
 ,"020 Haugh, Co. Donegal",240,224,111,113,-16,-6.7
 ,"021 Inver, Co. Donegal",767,747,382,365,-20,-2.6
 ,"022 Laghy, Co. Donegal",845,796,400,396,-49,-5.8
 ,"023 Loch Iascaigh, Co. Donegal",245,289,140,149,44,18
 ,"024 Pettigoe, Co. Donegal",396,391,203,188,-5,-1.3
 ,"025 Tantallon, Co. Donegal",1594,1627,834,793,33,2.1
 ,"026 Tawnawully, Co. Donegal",305,322,162,160,17,5.6
 ,"027 Templecarn, Co. Donegal",128,124,70,54,-4,-3.1
 ,"028 Tullynaught, Co. Donegal",594,603,306,297,9,1.5
 ,"Dunfanaghy rural area, Co. Donegal",11872,11163,5559,5604,-709,-6
 ,"029 Ards, Co. Donegal",754,723,366,357,-31,-4.1
 ,"030 Críoch na Sméar, Co. Donegal",266,278,141,137,12,4.5
 ,"031 An Craoslach, Co. Donegal",764,736,371,365,-28,-3.7
 ,"032 Na Croisbhealaí, Co. Donegal",2149,1952,940,1012,-197,-9.2
 ,"033 Caisleán na dTuath, Co. Donegal",234,227,122,105,-7,-3
 ,"034 Dún Fionnachaidh, Co. Donegal",934,922,442,480,-12,-1.3
 ,"035 Dún Lúiche, Co. Donegal",769,686,344,342,-83,-10.8
 ,"036 Gort an Choirce, Co. Donegal",1705,1602,809,793,-103,-6
 ,"037 Machaire Chlochair, Co. Donegal",2885,2744,1338,1406,-141,-4.9
 ,"038 Mín an Chladaigh, Co. Donegal",1412,1293,686,607,-119,-8.4
 ,"Glenties rural area, Co. Donegal",19132,18277,9160,9117,-855,-4.5
 ,"039 Anagaire, Co. Donegal",2354,2197,1072,1125,-157,-6.7
 ,"040 Árainn Mhór, Co. Donegal",514,471,238,233,-43,-8.4
 ,"041 Ard an Rátha, Co. Donegal",1194,1173,582,591,-21,-1.8
 ,"042 Cró Bheithe, Co. Donegal",160,155,84,71,-5,-3.1
 ,"043 Cró Chaorach, Co. Donegal",121,119,64,55,-2,-1.7
 ,"044 Crownarad, Co. Donegal",358,348,177,171,-10,-2.8
 ,"045 Dawros, Co. Donegal",662,636,314,322,-26,-3.9
 ,"046 An Dúchoraidh, Co. Donegal",85,100,55,45,15,17.6
 ,"047 An Clochán Liath, Co. Donegal",1931,1876,955,921,-55,-2.8
 ,"048 Baile na Finne, Co. Donegal",313,275,150,125,-38,-12.1
 ,"049 Gleann Cholm Cille, Co. Donegal",745,738,361,377,-7,-0.9
 ,"050 Gleann Gheis, Co. Donegal",677,667,358,309,-10,-1.5
 ,"051 Gleann Léithín, Co. Donegal",179,161,84,77,-18,-10.1
 ,"052 Na Gleannta, Co. Donegal",1508,1437,698,739,-71,-4.7
 ,"053 An Ghrafaidh, Co. Donegal",181,149,87,62,-32,-17.7
 ,"054 Inis Caoil, Co. Donegal",94,90,51,39,-4,-4.3
 ,"055 Cill Charthaigh, Co. Donegal",686,678,320,358,-8,-1.2
 ,"056 Cill Ghabhlaigh, Co. Donegal",379,344,179,165,-35,-9.2
 ,"057 Killybegs, Co. Donegal",2341,2277,1130,1147,-64,-2.7
 ,"058 An Leargaidh Mhór, Co. Donegal",578,559,295,264,-19,-3.3
 ,"059 Leitir Mhic an Bhaird, Co. Donegal",708,625,316,309,-83,-11.7
 ,"060 Maas, Co. Donegal",309,287,150,137,-22,-7.1
 ,"061 An Machaire, Co. Donegal",783,765,393,372,-18,-2.3
 ,"062 Málainn Bhig, Co. Donegal",365,379,184,195,14,3.8
 ,"063 Maol Mosóg, Co. Donegal",211,216,116,100,5,2.4
 ,"064 Inis Mhic an Doirn, Co. Donegal",1582,1431,680,751,-151,-9.5
 ,"065 Tieveskeelta, Co. Donegal",114,124,67,57,10,8.8
 ,"Inishowen rural area, Co. Donegal",36504,35829,17751,18078,-675,-1.8
 ,"066 Ardmalin, Co. Donegal",741,719,373,346,-22,-3
 ,"067 Ballyliffin, Co. Donegal",1394,1375,657,718,-19,-1.4
 ,"068 Birdstown, Co. Donegal",1324,1300,642,658,-24,-1.8
 ,"069 Buncrana Rural, Co. Donegal",3749,3785,1854,1931,36,1
 ,"070 Burt, Co. Donegal",1422,1259,649,610,-163,-11.5
 ,"071 Carndonagh, Co. Donegal",2375,2340,1154,1186,-35,-1.5
 ,"072 Carthage, Co. Donegal",950,879,442,437,-71,-7.5
 ,"073 Castlecary, Co. Donegal",680,699,343,356,19,2.8
 ,"074 Castleforward, Co. Donegal",1345,1351,692,659,6,0.4
 ,"075 Culdaff, Co. Donegal",955,947,478,469,-8,-0.8
 ,"076 Desertegny, Co. Donegal",705,720,373,347,15,2.1
 ,"077 Dunaff, Co. Donegal",694,688,339,349,-6,-0.9
 ,"078 Fahan, Co. Donegal",1670,1684,812,872,14,0.8
 ,"079 Glennagannon, Co. Donegal",758,720,344,376,-38,-5
 ,"080 Gleneely, Co. Donegal",824,838,422,416,14,1.7
 ,"081 Glentogher, Co. Donegal",1277,1175,563,612,-102,-8
 ,"082 Greencastle, Co. Donegal",973,1020,489,531,47,4.8
 ,"083 Illies, Co. Donegal",857,856,411,445,-1,-0.1
 ,"084 Inch Island, Co. Donegal",448,434,216,218,-14,-3.1
 ,"085 Kilderry, Co. Donegal",2203,2102,1051,1051,-101,-4.6
 ,"086 Killea, Co. Donegal",1860,1785,904,881,-75,-4
 ,"087 Malin, Co. Donegal",681,668,326,342,-13,-1.9
 ,"088 Mintiaghs, Co. Donegal",909,863,437,426,-46,-5.1
